y;x
53.26;7.58
52.06;11.25
51.36;13.75
50.66;9.58
50.96;7.42
55.63492;14.12263
59.1225;16.9621
57.2306;13.0787
52.12942;-7.67217
48.3906;0.23987
51.018;18.1303
42.1;-0.9
49.169;4.76192
55.51667;-2.71273
56.22119;-4.01612
46.5167;4.56528
52.06;10.58
51.36;11.08
49.46;7.25
48.76;10.08
48.56;10.25
50.96;7.25
55.45619;13.71093
59.41869;10.60591
56.7336;12.896
59.6216;17.6667
58.878;16.6505
46.65556;11.14278
50.54162;-4.75242
49.47743;20.43862
47.6686;5.30559
45.82154;2.16283
59.1799;14.8313
55.85067;13.65884
63.08359;7.76787
49.46;9.92
49.16;11.25
47.56;7.92
51.56;8.25
51.97139;1.13048
51.19579;-0.64025
52.12858;4.40142
51.16;10.42
48.26;9.75
50.56;6.25
49.46;11.75
53.66;12.92
47.2991;3.82908
47.9738;5.63923
50.8121;19.1121
56.04835;14.40835
44.5;-5.26
53.7485;11.2487
51.16;14.58
52.36;10.08
51.46;7.92
49.96;12.08
49.36;11.08
48.36;8.08
51.76707;-0.65938
56.86524;-2.57414
44.58333;15.11667
56.30664;10.22982
58.679;13.6683
49.77;6.39
58.19464;6.52552
40.82167;21.21722
47.0195;3.83798
51.26;13.92
49.76;7.92
57.9311;15.4979
53.26;10.25
50.26;9.25
49.96;7.25
49.66;6.92
49.36;8.08
48.06;10.75
51.26;7.25
42.7037;-0.5093
51.72699;-0.04511
48.66667;19.5
63.74361;10.9494
58.1325;15.2531
57.7369;12.1402
57.9164;12.1033
57.11536;9.17437
55.91603;10.08206
58.09035;6.79149
40.1;-3.1
43.05;-0.54
57.16049;-6.0523
55.9649;-2.88117
53.36;8.08
51.76;10.25
50.76;8.08
50.06;10.58
52.17631;-3.97453
55.03289;11.82096
52.27022;-9.97792
50.55085;-4.32938
59.07507;10.22023
56.54159;10.26864
48.1653;4.38035
59.65089;11.17983
47.74028;12.73194
53.45129;-1.7741
53.06;9.92
51.96;6.58
50.46;8.25
49.26;8.92
58.33518;8.59866
47.8678;-0.03155
52.02737;5.69443
55.01958;8.97967
59.4182;16.3556
45.55;15.94556
49;32
48.6036;0.88177
55.69638;-2.716
52.16;11.08
50.96;12.58
51.36;14.75
48.36;8.75
49.46;7.75
48.56;11.25
58.53638;8.59638
55.33593;-2.86715
