Data publisher,Dataset,Dataset Rights,Collector name,Collector number,Field number,GUID,Date collected,Institution code,Collection code,Catalogue No,Basis of record,Image url,Last indexed,Identifier,Identification date,Scientific name,Author,Scientific name (interpreted),Kingdom,Phylum,Class,Order,Family,Genus,Country,Country (interpreted),Locality,County,Continent or Ocean,State/Province,Region,Publisher country,Latitude,Longitude,Coordinate precision,Cell id,Centi cell id,Min depth,Max depth,Max depth,Min altitude,Max altitude,Altitude precision,GBIF portal url,GBIF webservice url,
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33532,Observation,,2009-08-10 02:23:09.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,Huelva,Southern Europe,Spain,37.7,-6.67,7071,45893,73,,,,,,,http://data.gbif.org/occurrences/164924245,http://data.gbif.org/ws/rest/occurrence/get?key=164924245
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33373,Observation,,2009-08-10 02:23:06.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,,Southern Europe,Spain,37.96,-6.1,7071,45893,99,,,,,,,http://data.gbif.org/occurrences/164924086,http://data.gbif.org/ws/rest/occurrence/get?key=164924086
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33591,Observation,,2009-08-10 02:23:10.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,Sevilla,Southern Europe,Spain,37.24,-6.13,7071,45893,28,,,,,,,http://data.gbif.org/occurrences/164924304,http://data.gbif.org/ws/rest/occurrence/get?key=164924304
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33527,Observation,,2009-08-10 02:23:09.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,Huelva,Southern Europe,Spain,37.87,-6.33,7071,45893,86,,,,,,,http://data.gbif.org/occurrences/164924240,http://data.gbif.org/ws/rest/occurrence/get?key=164924240
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33382,Observation,,2009-08-10 02:23:06.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,,Southern Europe,Spain,37.96,-6.44,7071,45893,95,,,,,,,http://data.gbif.org/occurrences/164924095,http://data.gbif.org/ws/rest/occurrence/get?key=164924095
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33531,Observation,,2009-08-10 02:23:09.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,Huelva,Southern Europe,Spain,37.25,-6.58,7071,45893,24,,,,,,,http://data.gbif.org/occurrences/164924244,http://data.gbif.org/ws/rest/occurrence/get?key=164924244
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33379,Observation,,2009-08-10 02:23:06.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,,Southern Europe,Spain,37.33,-6.35,7071,45893,36,,,,,,,http://data.gbif.org/occurrences/164924092,http://data.gbif.org/ws/rest/occurrence/get?key=164924092
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33590,Observation,,2009-08-10 02:23:10.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,Sevilla,Southern Europe,Spain,37.33,-6.12,7071,45893,38,,,,,,,http://data.gbif.org/occurrences/164924303,http://data.gbif.org/ws/rest/occurrence/get?key=164924303
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33534,Observation,,2009-08-10 02:23:09.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,Huelva,Southern Europe,Spain,37.43,-6.8,7071,45893,42,,,,,,,http://data.gbif.org/occurrences/164924247,http://data.gbif.org/ws/rest/occurrence/get?key=164924247
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33529,Observation,,2009-08-10 02:23:09.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,Huelva,Southern Europe,Spain,37.88,-6.56,7071,45893,84,,,,,,,http://data.gbif.org/occurrences/164924242,http://data.gbif.org/ws/rest/occurrence/get?key=164924242
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33376,Observation,,2009-08-10 02:23:06.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,,Southern Europe,Spain,37.78,-6.22,7071,45893,77,,,,,,,http://data.gbif.org/occurrences/164924089,http://data.gbif.org/ws/rest/occurrence/get?key=164924089
