tipo;x;y;presencia
robledal;477450;4113950;1
robledal;477550;4116250;1
robledal;477550;4116050;1
robledal;477550;4115850;1
robledal;477550;4115650;1
robledal;477550;4114850;1
robledal;477550;4113750;1
robledal;477550;4113550;1
robledal;477550;4113350;1
robledal;477650;4115450;1
robledal;477650;4115250;1
robledal;477650;4115050;1
robledal;477750;4116250;1
robledal;477750;4116050;1
robledal;477750;4115850;1
robledal;477750;4115650;1
robledal;477750;4114850;1
robledal;477750;4113850;1
robledal;477750;4113650;1
robledal;477750;4113450;1
robledal;477850;4115150;1
robledal;477950;4116150;1
robledal;477950;4115950;1
robledal;477950;4115750;1
robledal;478050;4115250;1
robledal;478150;4116150;1
robledal;478150;4115950;1
robledal;478350;4116050;1
robledal;478350;4115850;1
robledal;478350;4115650;1
robledal;478450;4115150;1
robledal;478550;4115850;1
robledal;478550;4115650;1
robledal;478550;4115450;1
robledal;487550;4097050;1
robledal;487650;4097250;1
robledal;487650;4096850;1
robledal;487750;4097050;1
robledal;487850;4097450;1
robledal;487850;4097250;1
robledal;487950;4097050;1
robledal;488050;4097550;1
robledal;456050;4124950;0
robledal;441050;4111450;0
robledal;441050;4107850;0
robledal;441150;4102650;0
robledal;441250;4090050;0
robledal;441250;4086450;0
robledal;441350;4121250;0
robledal;441350;4110050;0
robledal;441350;4100750;0
robledal;441450;4110850;0
robledal;441550;4119750;0
robledal;441550;4119550;0
robledal;441650;4100350;0
robledal;441650;4093050;0
robledal;441750;4110150;0
robledal;441750;4098050;0
robledal;441750;4094050;0
robledal;441850;4105350;0
robledal;441850;4102650;0
robledal;441850;4096250;0
robledal;441950;4114650;0
robledal;441950;4106650;0
robledal;441950;4096850;0
robledal;441950;4093050;0
robledal;442050;4120450;0
robledal;442050;4086650;0
robledal;442150;4118350;0
robledal;442250;4089550;0
robledal;442350;4096650;0
robledal;442450;4097950;0
robledal;442550;4121550;0
robledal;442550;4121050;0
robledal;442550;4106250;0
robledal;442650;4120450;0
robledal;442650;4107150;0
robledal;442650;4106050;0
robledal;442650;4089450;0
robledal;442650;4088250;0
robledal;442650;4087750;0
robledal;442750;4085450;0
robledal;442750;4084450;0
robledal;442850;4119350;0
robledal;442850;4113850;0
robledal;442950;4085750;0
robledal;443050;4121450;0
robledal;443050;4088350;0
robledal;443050;4087750;0
robledal;443050;4087150;0
robledal;443150;4121250;0
robledal;443150;4096150;0
robledal;443150;4088650;0
robledal;443250;4116150;0
robledal;443250;4100450;0
robledal;443350;4121150;0
robledal;443350;4110550;0
robledal;443350;4096150;0
robledal;443350;4095650;0
robledal;443450;4094250;0
robledal;443550;4108350;0
robledal;443550;4089750;0
robledal;443550;4086550;0
robledal;443750;4115150;0
robledal;443750;4111450;0
robledal;443750;4096550;0
robledal;443850;4122850;0
robledal;443850;4114850;0
robledal;443850;4103750;0
robledal;443850;4094050;0
robledal;443850;4089050;0
robledal;443950;4111950;0
robledal;444050;4085050;0
robledal;444150;4118750;0
robledal;444150;4115450;0
robledal;444150;4107450;0
robledal;444250;4101150;0
robledal;444450;4103250;0
robledal;444450;4088150;0
robledal;444450;4084950;0
robledal;444550;4109450;0
robledal;444550;4084250;0
robledal;444650;4124150;0
robledal;444750;4116250;0
robledal;444750;4100250;0
robledal;444750;4097150;0
robledal;444750;4094850;0
robledal;444750;4087550;0
robledal;444850;4122850;0
robledal;444850;4119950;0
robledal;444850;4091550;0
robledal;444950;4095450;0
robledal;445050;4106850;0
robledal;445150;4106350;0
robledal;445150;4103050;0
robledal;445150;4094850;0
robledal;445150;4093450;0
robledal;445150;4083050;0
robledal;445250;4114550;0
robledal;445350;4120150;0
robledal;445450;4114550;0
robledal;445450;4103650;0
robledal;445450;4100250;0
robledal;445450;4094550;0
robledal;445450;4087450;0
robledal;445550;4109250;0
robledal;445650;4111850;0
robledal;445650;4105550;0
robledal;445650;4093250;0
robledal;445750;4108950;0
robledal;445750;4106050;0
robledal;445750;4083250;0
robledal;445850;4101550;0
robledal;445850;4095650;0
robledal;445850;4086450;0
robledal;445950;4106950;0
robledal;445950;4100550;0
robledal;445950;4093150;0
robledal;445950;4086150;0
robledal;446050;4091950;0
robledal;446150;4116050;0
robledal;446250;4096250;0
robledal;446250;4084650;0
robledal;446450;4098850;0
robledal;446450;4098550;0
robledal;446450;4098350;0
robledal;446550;4123850;0
robledal;446550;4118450;0
robledal;446550;4104950;0
robledal;446550;4099250;0
robledal;446550;4089150;0
robledal;446650;4101950;0
robledal;446650;4101750;0
robledal;446650;4097650;0
robledal;446750;4110950;0
robledal;446750;4105250;0
robledal;446750;4090450;0
robledal;446850;4121050;0
robledal;446850;4115950;0
robledal;446950;4092250;0
robledal;447050;4111250;0
robledal;447050;4087250;0
robledal;447150;4111950;0
robledal;447250;4097850;0
robledal;447350;4099050;0
robledal;447350;4091450;0
robledal;447350;4090550;0
robledal;447450;4112050;0
robledal;447450;4090150;0
robledal;447650;4117350;0
robledal;447650;4104450;0
robledal;447750;4122350;0
robledal;447750;4105650;0
robledal;447750;4099850;0
robledal;447750;4090950;0
robledal;447850;4115550;0
robledal;447850;4096050;0
robledal;448050;4123250;0
robledal;448050;4120850;0
robledal;448050;4104750;0
robledal;448150;4115750;0
robledal;448150;4106950;0
robledal;448250;4119950;0
robledal;448250;4101050;0
robledal;448250;4087950;0
robledal;448350;4112350;0
robledal;448350;4111750;0
robledal;448450;4099350;0
robledal;448550;4117750;0
robledal;448550;4113550;0
robledal;448550;4101050;0
robledal;448550;4097850;0
robledal;448550;4094850;0
robledal;448650;4105350;0
robledal;448650;4096050;0
robledal;448750;4120550;0
robledal;448750;4106650;0
robledal;448750;4102250;0
robledal;448750;4095750;0
robledal;448850;4114050;0
robledal;448950;4101150;0
robledal;448950;4100950;0
robledal;449050;4123250;0
robledal;449050;4120950;0
robledal;449050;4120750;0
robledal;449050;4115350;0
robledal;449050;4114250;0
robledal;449050;4093850;0
robledal;449150;4124850;0
robledal;449150;4119250;0
robledal;449250;4122650;0
robledal;449250;4114650;0
robledal;449250;4089150;0
robledal;449350;4116250;0
robledal;449450;4116450;0
robledal;449450;4095350;0
robledal;449450;4085850;0
robledal;449550;4122250;0
robledal;449550;4117450;0
robledal;449550;4106050;0
robledal;449650;4105650;0
robledal;449750;4113950;0
robledal;449750;4113150;0
robledal;449750;4098750;0
robledal;449750;4085450;0
robledal;449850;4087950;0
robledal;449950;4101450;0
robledal;449950;4092750;0
robledal;450050;4101150;0
robledal;450150;4116950;0
robledal;450150;4099550;0
robledal;450150;4098350;0
robledal;450150;4084150;0
robledal;450250;4123850;0
robledal;450250;4098150;0
robledal;450350;4114350;0
robledal;450350;4091550;0
robledal;450450;4112150;0
robledal;450450;4100850;0
robledal;450650;4114350;0
robledal;450650;4100850;0
robledal;450650;4097650;0
robledal;450750;4116650;0
robledal;450750;4103950;0
robledal;450750;4084150;0
robledal;450850;4107950;0
robledal;450950;4116550;0
robledal;450950;4110650;0
robledal;451150;4120050;0
robledal;451150;4115750;0
robledal;451150;4104250;0
robledal;451150;4103450;0
robledal;451150;4086450;0
robledal;451150;4085550;0
robledal;451250;4117350;0
robledal;451250;4090550;0
robledal;451350;4095350;0
robledal;451450;4120250;0
robledal;451450;4119550;0
robledal;451550;4118850;0
robledal;451550;4118250;0
robledal;451550;4089450;0
robledal;451650;4096050;0
robledal;451650;4084950;0
robledal;451750;4124050;0
robledal;451750;4102750;0
robledal;451850;4099850;0
robledal;451850;4097450;0
robledal;451950;4112050;0
robledal;452050;4116650;0
robledal;452050;4110750;0
robledal;452050;4106750;0
robledal;452050;4099250;0
robledal;452050;4092950;0
robledal;452150;4103750;0
robledal;452250;4105450;0
robledal;452250;4093450;0
robledal;452250;4087750;0
robledal;452350;4103650;0
robledal;452350;4088050;0
robledal;452350;4086050;0
robledal;452450;4111350;0
robledal;452450;4102250;0
robledal;452450;4100750;0
robledal;452550;4091750;0
robledal;452550;4091050;0
robledal;452650;4121850;0
robledal;452750;4103250;0
robledal;452750;4092750;0
robledal;452850;4111750;0
robledal;452850;4102650;0
robledal;452950;4113150;0
robledal;452950;4109250;0
robledal;452950;4100150;0
robledal;452950;4090750;0
robledal;453150;4120450;0
robledal;453150;4107450;0
robledal;453150;4087250;0
robledal;453250;4124650;0
robledal;453250;4104450;0
robledal;453250;4100150;0
robledal;453250;4086850;0
robledal;453350;4122650;0
robledal;453350;4105050;0
robledal;453350;4096950;0
robledal;453450;4102250;0
robledal;453450;4085550;0
robledal;453550;4106950;0
robledal;453550;4096050;0
robledal;453550;4092950;0
robledal;453550;4092550;0
robledal;453650;4116950;0
robledal;453650;4101750;0
robledal;453750;4112850;0
robledal;453750;4107850;0
robledal;453750;4095550;0
robledal;453750;4090450;0
robledal;453750;4086350;0
robledal;453850;4100650;0
robledal;453850;4084850;0
robledal;453950;4122850;0
robledal;453950;4109950;0
robledal;453950;4100450;0
robledal;454050;4122450;0
robledal;454150;4106750;0
robledal;454250;4123250;0
robledal;454250;4120250;0
robledal;454250;4116450;0
robledal;454250;4105250;0
robledal;454250;4097150;0
robledal;454250;4095450;0
robledal;454450;4107350;0
robledal;454450;4099150;0
robledal;454550;4107750;0
robledal;454650;4107050;0
robledal;454650;4087850;0
robledal;454850;4097150;0
robledal;454950;4099150;0
robledal;454950;4097850;0
robledal;454950;4095950;0
robledal;455050;4116950;0
robledal;455050;4112850;0
